ec5_uuid,created_at,uploaded_at,title,1_Date,2_Flowering,lat_3_Plot_Center,long_3_Plot_Center,accuracy_3_Plot_Center,UTM_Northing_3_Plot_Center,UTM_Easting_3_Plot_Center,UTM_Zone_3_Plot_Center,4_Photo
e639cdf1-c036-4326-a9b9-9fc7ad2bd195,2020-07-07T16:16:17.844Z,2020-07-07T16:19:57.000Z,e639cdf1-c036-4326-a9b9-9fc7ad2bd195,07/07/2020,Yes,43.594699,-116.23249,11,4827144,561951,11T,https://five.epicollect.net/api/media/goathead-survey?type=photo&format=entry_original&name=e639cdf1-c036-4326-a9b9-9fc7ad2bd195_1594138573.jpg
58bda958-2e73-4a76-8ef9-19f55b9bce9b,2020-06-30T14:48:17.558Z,2020-06-30T17:15:11.000Z,58bda958-2e73-4a76-8ef9-19f55b9bce9b,30/06/2020,Yes,43.594801,-116.237126,9,4827152,561577,11T,https://five.epicollect.net/api/media/goathead-survey?type=photo&format=entry_original&name=58bda958-2e73-4a76-8ef9-19f55b9bce9b_1593528495.jpg
695c5ef8-e17c-4fac-bf3e-b9b38b51a522,2020-06-30T14:42:11.976Z,2020-06-30T17:15:09.000Z,695c5ef8-e17c-4fac-bf3e-b9b38b51a522,30/06/2020,Yes,43.592457,-116.237583,8,4826891,561543,11T,https://five.epicollect.net/api/media/goathead-survey?type=photo&format=entry_original&name=695c5ef8-e17c-4fac-bf3e-b9b38b51a522_1593528129.jpg
b3762bc5-4a8e-488c-8383-a9ff68eeb2b9,2020-06-30T14:40:56.284Z,2020-06-30T17:15:07.000Z,b3762bc5-4a8e-488c-8383-a9ff68eeb2b9,30/06/2020,Yes,43.592501,-116.237605,11,4826896,561541,11T,https://five.epicollect.net/api/media/goathead-survey?type=photo&format=entry_original&name=b3762bc5-4a8e-488c-8383-a9ff68eeb2b9_1593528053.jpg
90a60063-d9f7-4db4-909b-4c86e1d40eac,2020-06-30T14:36:07.564Z,2020-06-30T17:15:05.000Z,90a60063-d9f7-4db4-909b-4c86e1d40eac,30/06/2020,Yes,43.595129,-116.236961,4,4827189,561590,11T,https://five.epicollect.net/api/media/goathead-survey?type=photo&format=entry_original&name=90a60063-d9f7-4db4-909b-4c86e1d40eac_1593527764.jpg
858f336d-6dac-428b-a2fe-263d57e22416,2020-06-30T14:30:43.046Z,2020-06-30T17:15:03.000Z,858f336d-6dac-428b-a2fe-263d57e22416,30/06/2020,Yes,43.594569,-116.233154,11,4827129,561898,11T,https://five.epicollect.net/api/media/goathead-survey?type=photo&format=entry_original&name=858f336d-6dac-428b-a2fe-263d57e22416_1593527440.jpg
21558434-3514-46b2-8e5a-e624a5ebed07,2020-06-30T14:27:15.998Z,2020-06-30T17:15:01.000Z,21558434-3514-46b2-8e5a-e624a5ebed07,30/06/2020,Yes,43.595268,-116.231243,4,4827208,562051,11T,https://five.epicollect.net/api/media/goathead-survey?type=photo&format=entry_original&name=21558434-3514-46b2-8e5a-e624a5ebed07_1593527233.jpg
4c32e733-75ed-46e2-b345-ccd08df8af7e,2020-06-25T23:00:26.710Z,2020-06-25T23:12:15.000Z,4c32e733-75ed-46e2-b345-ccd08df8af7e,25/06/2020,Yes,43.594249,-116.237085,8,4827091,561581,11T,https://five.epicollect.net/api/media/goathead-survey?type=photo&format=entry_original&name=4c32e733-75ed-46e2-b345-ccd08df8af7e_1593126023.jpg
7df27304-391d-496e-a6d6-f34ea5d6f3fc,2020-06-25T22:55:53.153Z,2020-06-25T23:12:13.000Z,7df27304-391d-496e-a6d6-f34ea5d6f3fc,25/06/2020,Yes,43.591886,-116.237408,4,4826828,561557,11T,
4710be79-0fa9-4424-af3e-7d37cb062518,2020-06-25T22:54:34.260Z,2020-06-25T23:12:11.000Z,4710be79-0fa9-4424-af3e-7d37cb062518,25/06/2020,Yes,43.591845,-116.237389,5,4826824,561559,11T,
ecd7e4e8-4fcc-4013-92e4-09eaf560f463,2020-06-25T22:54:05.297Z,2020-06-25T23:12:09.000Z,ecd7e4e8-4fcc-4013-92e4-09eaf560f463,25/06/2020,Yes,43.591863,-116.237412,4,4826826,561557,11T,https://five.epicollect.net/api/media/goathead-survey?type=photo&format=entry_original&name=ecd7e4e8-4fcc-4013-92e4-09eaf560f463_1593125642.jpg
3f68fd4b-54e3-46d5-8dea-ccb3a700994c,2020-06-25T22:53:20.262Z,2020-06-25T23:12:07.000Z,3f68fd4b-54e3-46d5-8dea-ccb3a700994c,25/06/2020,Yes,43.591895,-116.237426,4,4826829,561556,11T,https://five.epicollect.net/api/media/goathead-survey?type=photo&format=entry_original&name=3f68fd4b-54e3-46d5-8dea-ccb3a700994c_1593125593.jpg
